Чек-лист №1,,,,
Функционал: Найти анализ через поисковую строку,,,,
"Предмет тестирования: https://www.invitro.ru/ 
Операционная система: Ubuntu 22.04
Браузер: ""Chrome"" Версия 101.0.4951.64 (Официальная сборка), snap (64 бит)
Локация: Россия, г. Санкт-Петербург",,,,
ПРОВЕРКА,ПРИМЕР,РЕЗУЛЬТАТ,P/F,Комментарий
"Поиск ищет по полям ""название"" и ""мини-описание""",,,,
Поиск анализа по названию,глюкоза,Система находит анализы содержащие введенное значение,P,
Поиск анализа по мини-описанию,гемоглобин,,P,
"Поиск не ищет по полям, кроме ""название"" и ""мини-описание""",,,,
Поиск анализа по описанию,лейкоциты,Система не находит анализы содержащие введенное значение,P,
Поиск анализа по подготовке,натощак,,P,
Поиск анализа по показаниям к назначению,заболевание,,P,
Поиск анализа по интерпретации результатов,интерпретация,,P,
Релевантность результатов поиска,,,,
"Поиск анализа по слову, указанному в названии анализа",общий,Сортировка по частоте заказов. Приоритет: название,P,
Зависимость от регистра,,,,
Все прописные,кортизол,Система выводит анализы содержащие введенное значение в не зависимости от его написания,P,
Все заглавные,ТИРОКСИН,,P,
Поочередно,АлЮмИнИй,,P,
Поиск по включению,,,,
Ввод первой части слова,лакт,Система находит анализы содержащие введенное значение в любой части слова,P,
Ввод середины слова,лерг,,P,
Ввод второй части слова,сом,,P,
Ввод слова в инфинитиве,криотип,,P,
ввод слова в падеже,сринингом,,P,
Два слова,,,,
Ввод одного слова при поские анализа состоящего из двух слов в названии,Фенотипирование,Система находит анализы содержащие введенное значение ,P,
Ввод двух слов при поские анализа состоящего из двух слов в названии,Активированные лимфоциты,,P,
Ввод двух слов в обратном порядке при поские анализа состоящего из двух слов в названии, активность фагоцитарная,,P,
Ввод словосочетания при посике анализа содержащего словосочетание в описании,диффузные заболевания,,P,
Ввод словосочетания в обратном порядке при посике анализа содержащего словосочетание в описании,печени заболевания,,P,
Опечатки,,,,
Замена одной буквы в слове,Иммуноглабулины,Система находит анализы содержащие введенное значение с исправлением неверных букв,P,
Замена 2х букв в слове,Инкебитор,,P,
Замена 3х букв в слове,беоланический,Система находит анализы содержащие сочетание букв введенного значения,P,
Пропуск одной буквы в слове,брий,,P,
Пропуск 2х букв в слове,вльфрм,,P,
Пропуск 3х букв в слове,бохмческий,,P,
Ввод слова с неправильной раскладкой,htnbrekjwbns,Система ничего не находит и просит изменить запрос,P,
Английский язык,,,,
Ввод значения на английском языке,Prolactin,Система находит анализы содержащие введенное значение,P,
Ввод английского слова кириллицей,креатинине,,P,
Ввод русского слова латиницей,reberg,Система ничего не находит и просит изменить запрос,P,
Спецсимволы,,,,
Ввод значения со спец символом,RNP/Sm,Система находит анализы содержащие введенное значение,P,
Ввод только спецсимволов,"~!@#$%^&*()_+{}|:”>?<Ё!”№;%:?*()_+/Ъ,/.,;’[]\|",Система ничего не находит и просит изменить запрос,P,
Символы валют,¢€£¤¥$,,P,
Cимволы пунктуации,«»“”‹›‘’–—§¶…•¿†¹²³<>−,,P,
Другие символы,ÀÇÈÌÑÒÙßàçèìíñò,,P,
Иероглифы,事件王蒙推荐,,P,
HTML-тэги,<p>кровь</p>,Система находит анализы содержащие введенное значение,P,
Пробелы,,,,
В начале слова пробел,""" эритроциты""",Система обрезает пробелы слова и находит анализы содержащие введенное значение,P,
В конце слова пробел,"""кровь """,,P,
В начале и в конце слова пробел,""" гемоглобин """,,P,
Ввод только пробелов,"""            """,Система ничего не находит и просит изменить запрос,P,
Количество символов,,,,
Ввод пустого поля,,Система ничего не находит и просит изменить запрос,P,
Одна буква,S,Система находит анализы содержащие введенное значение ,P,
Две буквы,OF,,P,
Ввод 10 000 символов,https://docs.google.com/document/d/e/2PACX-1vRvHElhT7uh2IkCztdsX1V3fh9CN7d4RJxNoRkghjGZm-6RWXzYFkNG2VsPsjkq9AQ22V0dCxPpT90Z/pub,Система ничего не находит и просит изменить запрос,F,
